"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Конструктор на главной странице","8","0","","0"
"0","","0","Страница 'Лента заказов'","6","0","","0"
